Name,representative_disperions,disperse,no_dispersion,no_data,slight_dispersion,actinacidiphila,Phaeacidiphilus,Mangrovactinospora,Wenjunlia,Streptantibioticus
Streptomyces_deserti_id000227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_deserti_id000228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unidentified_id000233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_somaliensis__COLLAPSED__id000234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_rubrolavendulae_id000235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_rubrolavendulae__COLLAPSED__id000239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fradiae_id000240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
actinobacterium_HL9_id000242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fradiae_id000243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fradiae_id000244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_rubrolavendulae_id000245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fradiae_id000246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_rubrolavendulae_id000247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fradiae__4__Streptomyces_rubrolavendulae__1__id000248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fradiae_id000249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_rubrolavendulae__COLLAPSED__id000250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_rubrolavendulae_id000251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fradiae__2__Streptomyces_rubrolavendulae__1__id000254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_rubrolavendulae_id000255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fradiae__3__Streptomyces_rubrolavendulae__2__id000257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_rubrolavendulae_id000259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_rubrolavendulae_id000260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_rubrolavendulae_id000261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_rubrolavendulae__1__Streptomyces_indiaensis__2__id000263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fradiae__2__Streptomyces_rubrolavendulae__1__id000264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_rubrolavendulae_id000265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_rubrolavendulae_id000266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
actinobacterium_H524_id000268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
actinobacterium_AS151_id000269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_rubrolavendulae_id000270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_rubrolavendulae_id000271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fradiae_id000272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_rubrolavendulae_id000273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_coeruleoprunus__6__Streptomyces_rubrolavendulae__3__id000274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_thermolilacinus_id000275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fradiae_id000276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_sp.__10__unidentified__10__Streptomyces_rubrolavendulae__1__id000277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
